scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,pathway lien,introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,introduction pathway 5,introduction pathway 6,introduction pathway 7,date first observation,date last observation,source,occurrence remarks,native range,realm,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
"Camponotus vagus (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,species,ICZN,Flanders,BE,present,introduced,casual,timberTrade | transportationHabitatMaterial,timberTrade,transportationHabitatMaterial,,,,,,1998,2023,"Dekoninck, W., Pauly, A., 2002. Camponotus vagus Scopoli, 1763 (Hymenoptera Formicidae) a new ant species for Belgium? Bulletin de la Société royale belge d'Entomologie; 138:29-30. | Dekoninck, W., Ignace, D., Vankerkhoven, F., Wegnez, P., 2012. Verspreidingsatlas van de mieren in België.
| waarnemingen.be/observation/101695314/ | van Loon, A.J. & Noordwijk, M. Verschoor, 2016. Import van de zwarte reuzenmier (Hymenoptera:
Formicidae: Camponotus vagus) met wijnstokken. Entomologische berichten 76 (5), 197-198. | Boer, P., 2015. Mieren van de Benelux. | https://www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/nsr_taxon.php?id=165250 | http://www.formicidae-atlas.be/ | Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the checklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41.","in Belgium encountered in nature | in the south of France imported by roof insolation | in the Netherlands introduced in parks, and deliberately in the dunes",Southern Europe | Eastern Europe | Western Europe | Northern Europe,terrestrial,TRUE,FALSE,FALSE,,rare,NT,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
"Crematogaster scutellaris (Olivier, 1792)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,species,ICZN,Brussels,BE,present,introduced,casual,,,,,,,,,2022,2023,"Dekoninck W, De Ketelaere A, Vandenberghe M & Vankerkhoven F, 2022. First outdoor record of Crematogaster scutellaris in Belgium (Hymenoptera: Formicidae). Bulletin SRBE/KBVE, 158: 175-182",1 nest in Audergem Rood Klooster,Southern Europe | Eastern Europe,terrestrial,TRUE,FALSE,FALSE,,rare,NT,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
"Hypoponera punctatissima (Roger, 1859)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Flanders,BE,present,introduced,established,transportStowaway | naturalDispersal,transportStowaway,naturalDispersal,,,,,,1918,2023,"www.formicidae.be/hypopunc.htm | Dekoninck W., Ignace D., Vankerkhoven F., Wegnez P., 2012. Verspreidingsatlas van de mieren in België. | Boer P., Blommaart J., Huijbregts H., van Nunen F., and Vorst O., 2006. De compostmier Hypoponera punctatissima in het vrije veld. Entomologische Berichten Amsterdam 66(2), 56-57. | waarnemingen.be/observation/203905484/ | Boer, P., 2015. Mieren van de Benelux. | http://www.formicidae-atlas.be/ | Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the checklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41. | Loneux, M., Walravens, E., 2002. Présence de fourmis Hypoponera punctatissima en Belgique, Bulletin  S.R.B.E. 72, 189-191. | https://hal.archives-ouvertes.fr/hal-02109530/document | FORMIDABEL Databank",in vrije natuur + binnen,cosmopolitan,terrestrial,TRUE,FALSE,FALSE,,occasional,LC,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
"Hypoponera punctatissima (Roger, 1859)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Wallonia,BE,present,introduced,established,,,,,,,,,1905,2023,FORMIDABEL Databank,,cosmopolitan,terrestrial,TRUE,FALSE,FALSE,,occasional,LC,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
"Hypoponera punctatissima (Roger, 1859)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Brussels,BE,present,introduced,established,,,,,,,,,1994,2023,FORMIDABEL Databank,,cosmopolitan,terrestrial,TRUE,FALSE,FALSE,,occasional,LC,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
"Hypoponera ergatandria (Forel, 1893)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Flanders,BE,present,introduced,established,,,,,,,,,1911,2023,"Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41.","only indoors (greenhouses), previous Hypoponera schauinslandi (Emery, 1899)",Neotropic,terrestrial,TRUE,FALSE,FALSE,,occasional,LC,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
"Hypoponera ergatandria (Forel, 1893)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Wallonia,BE,present,introduced,established,,,,,,,,,2005,2023,FORMIDABEL Databank,,Neotropic,terrestrial,TRUE,FALSE,FALSE,,occasional,LC,,Wouter Dekoninck,Wouter Dekoninck
"Hypoponera ergatandria (Forel, 1893)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Brussels,BE,present,introduced,established,,,,,,,,,1920,2023,FORMIDABEL Databank,,Neotropic,terrestrial,TRUE,FALSE,FALSE,,occasional,LC,,Wouter Dekoninck,Wouter Dekoninck
"Hypoponera eduardi (Forel, 1894)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Hypoponera,species,ICZN,Flanders,BE,present,introduced,casual,,,,,,,,,2020,2021,"VAN DIJCK T, JACOBS, J, ARTOIS T, DEKONINCK W & VANKERKHOVEN F, 2023. Hypoponera eduardi (Forel, 1894) (Hymenoptera: Formicidae) on extensive green roofs in the Province of Antwerp: a new species for the Belgian ant fauna. Bulletin SRBE/KBVE, 158: 225-231.",,cosmopolitan,terrestrial,TRUE,FALSE,FALSE,,rare,DD,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
"Lasius neglectus Van Loon et al., 1990",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,species,ICZN,Flanders,BE,present,introduced,invasive,contaminantOnPlants | contaminantNursery | transportationHabitatMaterial,contaminantOnPlants,contaminantNursery,transportationHabitatMaterial,,,,,1978,2023,"Dekoninck, W, Lock, K, and Janssens, F., 2007. Eur. J. Entomol. 104, 159-161. | Dekoninck W, De Baere C, Mertens J & Maelfait J-P, 2002. On the arrival of the Asian invader ant Lasius neglectus in Belgium (Hymenoptera: Formicidae). Bulletin S.R.B.E./K.B.V.E., 138: 45-48. | https://www.vrt.be/vrtnws/nl/2018/11/22/al-19-hectare-gents-grondgebied-ondergraven-door-de-plaagmier/ | Dekoninck W., Ignace D., Vankerkhoven F., Wegnez P., 2012. Verspreidingsatlas van de mieren in België. | Boer, P., 2015. Mieren van de Benelux. | https://www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/nsr_taxon.php?id=165245&cat=162 | http://www.formicidae-atlas.be/ | Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the checklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41. | https://hal.archives-ouvertes.fr/hal-02109530/document","in city parks, in botanical gardens and flower pots",Eastern Europe,terrestrial,TRUE,FALSE,FALSE,,dominant,DD,,Wouter Dekoninck & Charlotte Taelman,Wouter Dekoninck
